node_id,node_name,node_type,technology,hardware,software_version,ip_address,latitude,longitude,region,installation_date,cpu_cores,ram_gb,max_power_watts,max_temperature_c,interface_count,has_ups,rack_position
1,CT4-0001,Cell Tower 4G,4G,Huawei DBS3900,4G-LTE-20.1.0,10.10.0.76,31.325674,-111.169831,Northeast,2022-03-17,8,16,1150,48,10,True,
2,CT4-0002,Cell Tower 4G,4G,Huawei DBS3900,4G-LTE-11.3.7,172.20.0.29,38.846431,-93.254012,West,2022-01-21,8,16,1150,48,10,True,
3,CT4-0003,Cell Tower 4G,4G,Nokia Flexi Multiradio,4G-LTE-10.2.13,10.30.0.12,31.391041,-111.588371,Midwest,2022-06-11,6,12,980,50,8,True,
4,CT4-0004,Cell Tower 4G,4G,Ericsson RBS 6000,4G-LTE-15.9.8,10.40.0.71,41.783831,-94.579911,Southwest,2022-12-06,8,16,1200,45,12,False,
5,CT4-0005,Cell Tower 4G,4G,Huawei DBS3900,4G-LTE-19.5.6,10.30.0.30,26.599768,-87.953044,Midwest,2024-01-04,8,16,1150,48,10,True,
6,CT4-0006,Cell Tower 4G,4G,Nokia Flexi Multiradio,4G-LTE-17.5.5,10.10.0.69,33.171226,-87.480716,Northeast,2023-03-15,6,12,980,50,8,True,
7,CT4-0007,Cell Tower 4G,4G,Huawei DBS3900,4G-LTE-16.4.7,10.10.0.5,32.458503,-82.27938,Northeast,2022-10-21,8,16,1150,48,10,True,
8,CT4-0008,Cell Tower 4G,4G,Ericsson RBS 6000,4G-LTE-11.3.10,10.40.0.34,40.075089,-102.031509,Southwest,2023-10-17,8,16,1200,45,12,True,
9,CT4-0009,Cell Tower 4G,4G,Huawei DBS3900,4G-LTE-18.8.8,172.19.0.29,38.445478,-75.415387,Southwest,2023-10-19,8,16,1150,48,10,True,
10,CT4-0010,Cell Tower 4G,4G,Ericsson RBS 6000,4G-LTE-11.0.3,10.40.0.50,39.431259,-81.019794,Southwest,2022-06-08,8,16,1200,45,12,True,
11,CT4-0011,Cell Tower 4G,4G,Huawei DBS3900,4G-LTE-17.8.8,172.16.0.99,44.797933,-122.391506,Northeast,2022-09-01,8,16,1150,48,10,True,
12,CT4-0012,Cell Tower 4G,4G,Ericsson RBS 6000,4G-LTE-16.2.14,10.30.0.65,46.937766,-76.579794,Midwest,2023-12-24,8,16,1200,45,12,False,
13,CT4-0013,Cell Tower 4G,4G,Ericsson RBS 6000,4G-LTE-14.8.6,10.50.0.77,33.600019,-114.437901,West,2022-10-04,8,16,1200,45,12,True,
14,CT4-0014,Cell Tower 4G,4G,Ericsson RBS 6000,4G-LTE-11.5.9,10.10.0.94,26.332279,-76.465491,Northeast,2021-11-06,8,16,1200,45,12,False,
