timestamp,node_id,node_name,node_type,region,software_version,availability_percent,uptime_minutes,mtbf_hours,mttr_hours,interface_flaps,bgp_flaps,download_bandwidth_mbps,upload_bandwidth_mbps,throughput_utilization_percent,interface_utilization_percent,data_transferred_gb,goodput_mbps,latency_ms,one_way_latency_ms,jitter_ms,dns_resolution_time_ms,tcp_handshake_time_ms,time_to_first_byte_ms,packet_loss_percent,error_rate_percent,crc_errors_per_million,interface_errors,collisions_percent,discarded_packets_per_million,retransmission_percent,mean_opinion_score,signal_to_noise_ratio,cpu_utilization_percent,memory_utilization_percent,queue_depth,power_consumption_watts,temperature_celsius,connection_count,active_sessions,connection_drop_percent,connection_establishment_time_ms,transactions_per_second,avg_transaction_time_ms,web_traffic_percent,media_traffic_percent,other_traffic_percent,mtu_efficiency_percent,rssi_dbm,channel_utilization_percent,co_channel_interference_db,roaming_time_ms,client_count,maintenance_window,major_incident,software_update,power_outage,weather_event,failure_event
2025-01-29 00:00:00,1,CT4-0001,Cell Tower 4G,Northeast,4G-LTE-20.1.0,99.9565,60,3928,2.0,0,0,87.74,21.77,66.67,54.26,16.196,83.75,36.19,16.46,2.38,33.6,69.69,121.77,0.567,0.279,0.0,5,0,1.59,0.75,3.87,22.3,58.78,49.62,507,892.8,43.9,175,81,0.311,136.58,9.1,142.6,33.9,22.9,43.2,58.2,-76.2,59.8,29.05,93.2,32,0,0,0,0,0,0
2025-01-29 01:00:00,1,CT4-0001,Cell Tower 4G,Northeast,4G-LTE-20.1.0,99.9725,60,3928,2.0,0,0,86.65,24.07,66.67,43.57,15.994,82.97,30.05,12.82,3.48,25.32,59.85,111.36,0.26,0.148,1.9,13,0,1.2,0.11,4.38,21.29,65.4,52.37,612,915.6,42.9,202,78,0.254,97.51,7.9,133.28,28.8,35.9,35.3,54.8,-79.6,53.7,18.83,101.9,32,0,0,0,0,0,0
2025-01-29 02:00:00,1,CT4-0001,Cell Tower 4G,Northeast,4G-LTE-20.1.0,99.9748,60,3928,2.0,0,0,76.63,20.93,66.67,47.57,14.143,73.28,27.89,12.17,2.71,35.0,55.77,87.65,0.386,0.156,3.2,0,0,1.26,0.41,4.7,20.28,60.41,48.58,405,898.4,42.1,216,66,0.192,99.03,6.7,94.97,28.8,28.3,42.9,55.7,-82.1,66.1,22.63,72.1,32,0,0,0,0,0,0
2025-01-29 03:00:00,1,CT4-0001,Cell Tower 4G,Northeast,4G-LTE-20.1.0,99.449,60,3928,2.0,0,0,49.26,13.95,66.67,50.49,5.455,46.95,82.35,36.53,6.88,84.78,294.66,539.4,0.716,0.353,3.9,6,0,1.45,1.21,3.72,14.02,66.26,53.63,426,918.6,45.9,142,37,0.315,466.84,3.7,339.03,28.7,25.0,46.3,51.0,-83.6,56.2,17.47,209.7,19,1,0,0,0,0,0
2025-01-29 04:00:00,1,CT4-0001,Cell Tower 4G,Northeast,4G-LTE-20.1.0,99.4275,60,3928,2.0,0,0,49.35,12.88,66.67,49.36,5.464,46.85,53.9,24.47,4.14,91.52,188.17,347.7,1.109,0.51,7.7,6,0,1.67,1.03,3.28,13.78,60.95,53.26,481,900.3,40.8,130,52,0.43,327.95,4.5,227.34,33.3,48.0,18.8,61.0,-86.3,63.9,18.12,69.5,19,1,0,0,0,0,0
2025-01-29 05:00:00,1,CT4-0001,Cell Tower 4G,Northeast,4G-LTE-20.1.0,99.9557,60,3928,2.0,0,0,84.1,22.83,66.67,60.91,15.52,80.33,26.63,12.04,3.38,26.76,53.26,74.22,0.502,0.276,2.7,0,0,1.21,0.54,4.14,31.33,55.97,48.23,417,883.1,43.5,237,77,0.334,106.75,8.9,89.83,30.6,60.1,9.3,69.1,-69.0,51.8,16.11,129.8,32,0,0,0,0,0,0
2025-01-29 06:00:00,1,CT4-0001,Cell Tower 4G,Northeast,4G-LTE-20.1.0,99.9649,60,3928,2.0,0,0,91.34,22.87,66.67,51.78,20.791,87.44,31.89,14.04,2.83,29.31,64.68,110.46,0.279,0.179,0.7,0,0,1.47,0.37,4.47,18.56,55.05,51.69,443,879.9,42.5,261,88,0.343,116.99,8.0,155.47,41.2,45.4,13.5,68.8,-78.6,62.6,16.34,105.1,40,0,0,0,0,0,0
2025-01-29 07:00:00,1,CT4-0001,Cell Tower 4G,Northeast,4G-LTE-20.1.0,99.9659,60,3928,2.0,0,0,83.18,21.22,66.67,53.25,22.341,79.59,26.37,11.11,5.36,26.62,53.66,99.15,0.331,0.164,0.1,9,0,1.13,0.25,4.64,24.75,66.56,51.09,386,919.6,45.9,312,88,0.353,94.0,10.0,105.84,24.7,48.7,26.6,62.4,-70.6,64.4,23.88,78.9,47,0,0,0,0,0,0
2025-01-29 08:00:00,1,CT4-0001,Cell Tower 4G,Northeast,4G-LTE-20.1.0,99.9624,60,3928,2.0,0,0,87.76,22.77,66.67,52.24,26.792,83.88,33.27,14.36,4.01,36.56,59.22,112.31,0.445,0.198,3.1,0,0,1.36,0.24,4.64,21.56,58.11,51.1,459,890.5,46.1,359,127,0.356,98.68,10.6,127.07,33.1,54.2,12.7,41.7,-75.9,64.6,20.19,91.1,54,0,0,0,0,0,0
2025-01-29 09:00:00,1,CT4-0001,Cell Tower 4G,Northeast,4G-LTE-20.1.0,99.9616,60,3928,2.0,0,0,97.25,21.47,66.67,52.42,28.633,93.04,35.91,16.23,3.81,40.58,76.45,97.21,0.346,0.214,2.5,1,0,1.3,0.1,4.81,19.89,58.3,57.62,392,891.1,42.2,337,102,0.34,126.09,8.8,126.8,40.2,41.8,17.9,62.6,-75.4,58.7,20.56,104.4,52,0,0,0,0,0,0
